         17039216 function calls (16064202 primitive calls) in 117.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.611    0.305 widgets.py:1(<module>)
  250/248    0.607    0.002    0.610    0.002 {built-in method _imp.create_dynamic}
   161028    0.595    0.000    0.595    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    77248    0.577    0.000    0.577    0.000 {built-in method torch.rsub}
   155632    0.498    0.000    0.498    0.000 {built-in method torch.log}
    78384    0.086    0.000    0.494    0.000 dropout.py:57(forward)
      101    0.001    0.000    0.489    0.005 artist.py:129(_update_set_signature_and_docstring)
      100    0.000    0.000    0.485    0.005 artist.py:105(__init_subclass__)
    45724    0.108    0.000    0.482    0.000 torchutils.py:20(sum_except_batch)
        1    0.002    0.002    0.452    0.452 gw_obs.py:62(generate_observations)
   156792    0.233    0.000    0.429    0.000 container.py:183(_get_abs_string_index)
     2513    0.429    0.000    0.429    0.000 {built-in method io.open_code}
    78384    0.210    0.000    0.408    0.000 functional.py:1235(dropout)
    77248    0.390    0.000    0.390    0.000 {built-in method torch.cumsum}
46863/45782    0.036    0.000    0.382    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2528    0.372    0.000    0.372    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.358    0.358 _stats_py.py:19(<module>)
  250/154    0.000    0.000    0.356    0.002 <frozen importlib._bootstrap_external>:1179(exec_module)
  250/154    0.023    0.000    0.356    0.002 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.342    0.342 figure.py:1(<module>)
      114    0.000    0.000    0.323    0.003 artist.py:1743(kwdoc)
    52256    0.309    0.000    0.309    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
   594442    0.298    0.000    0.298    0.000 {built-in method torch._C._get_tracing_state}
     2845    0.013    0.000    0.294    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    33116    0.016    0.000    0.275    0.000 inspect.py:607(getdoc)
     2842    0.002    0.000    0.268    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
2843/2842    0.006    0.000    0.266    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
    32200    0.154    0.000    0.263    0.000 inspect.py:626(cleandoc)
        1    0.000    0.000    0.258    0.258 colorbar.py:1(<module>)
        1    0.000    0.000    0.254    0.254 embed.py:2(<module>)
     3539    0.018    0.000    0.249    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
     6532    0.013    0.000    0.244    0.000 base.py:22(log_prob)
    27386    0.010    0.000    0.239    0.000 artist.py:1454(is_alias)
      216    0.016    0.000    0.236    0.001 artist.py:1435(get_setters)
       11    0.000    0.000    0.234    0.021 api.py:1(<module>)
      114    0.003    0.000    0.226    0.002 artist.py:1504(pprint_setters)
    39192    0.221    0.000    0.221    0.000 {built-in method torch.any}
    78384    0.221    0.000    0.221    0.000 {built-in method torch.zeros_like}
      198    0.000    0.000    0.220    0.001 pytables.py:2908(read_index)
279997/277948    0.067    0.000    0.219    0.000 {built-in method builtins.getattr}
     6532    0.117    0.000    0.215    0.000 normal.py:23(_log_prob)
1304180/983251    0.148    0.000    0.214    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.205    0.102 table.py:3(<module>)
        4    0.000    0.000    0.203    0.051 __init__.py:10(<module>)
        9    0.000    0.000    0.195    0.022 utils.py:3(<module>)
        1    0.000    0.000    0.194    0.194 ecsv.py:3(<module>)
    38624    0.192    0.000    0.192    0.000 {built-in method torch.min}
     2513    0.004    0.000    0.191    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
    18/16    0.000    0.000    0.188    0.012 base.py:381(_update__doc__)
      216    0.000    0.000    0.184    0.001 artist.py:1340(__init__)
    18/16    0.000    0.000    0.184    0.012 core.py:384(get_formats)
    18/16    0.001    0.000    0.184    0.012 base.py:64(get_formats)
     2513    0.184    0.000    0.184    0.000 {built-in method marshal.loads}
      216    0.009    0.000    0.184    0.001 artist.py:1360(get_aliases)
     53/8    0.000    0.000    0.180    0.023 core.py:77(register_reader)
        1    0.000    0.000    0.178    0.178 distributions.py:8(<module>)
        1    0.000    0.000    0.175    0.175 cosmology.py:3(<module>)
        1    0.000    0.000    0.170    0.170 _subplots.py:1(<module>)
    38624    0.169    0.000    0.169    0.000 {built-in method torch.max}
        1    0.000    0.000    0.167    0.167 interactiveshell.py:1(<module>)
 3102/594    0.001    0.000    0.161    0.000 file.py:1551(_get_node)
